,Date,Site ID,County,value
48,2020-01-01,Manvel Croix Park,Brazoria,0.006047026146243931
49,2020-01-01,Midlothian OFW,Ellis,0.009225118721461298
50,2020-01-01,Mission,Hidalgo,-0.0017655598298616966
51,2020-01-01,Nederland High School,Jefferson,0.008071979733533546
52,2020-01-01,Northwest Harris County,Harris,-0.0016614565584536153
53,2020-01-01,Palo Duro,Randall,0.0032697356602240726
54,2020-01-01,Park Place,Harris,0.007665185775943044
55,2020-01-01,Parker County,Parker,0.01092579145555777
56,2020-01-01,Pilot Point,Denton,0.006414533433414825
57,2020-01-01,Port Arthur West,Jefferson,0.008292855382498326
58,2020-01-01,Rockwall Heath,Rockwall,0.007228323909009612
59,2020-01-01,SETRPC  40  Sabine Pass,Jefferson,0.01026364765121663
60,2020-01-01,SETRPC 43 Jefferson Co Airport,Jefferson,0.009255007068243018
61,2020-01-01,San Antonio Northwest,Bexar,-0.0015501320447862468
62,2020-01-01,Seabrook Friendship Park,Harris,0.009600068680803181
63,2020-01-01,Skyline Park,El Paso,0.009077923938199874
64,2020-01-01,Socorro Hueco,El Paso,0.00712558040908258
65,2020-01-01,Temple Georgia,Bell,0.006974625195471339
66,2020-01-01,Tyler Airport Relocated,Smith,0.006786592043535475
67,2020-01-01,Victoria,Victoria,0.005458985448404154
68,2020-01-01,Waco Mazanec,McLennan,0.008033448120181926
69,2020-01-01,West Orange,Orange,0.007637639519609801
70,2020-01-02,Alabama-Coushatta,Polk,-0.0045966783457987576
71,2020-01-02,Ascarate Park SE,El Paso,0.003500885129882343
72,2020-01-02,Austin Audubon Society,Travis,-0.013808443369165948
73,2020-01-02,Austin Northwest,Travis,-0.01331755112636156
74,2020-01-02,Baytown Garth,Harris,-0.008668984737599271
75,2020-01-02,Beaumont Downtown,Jefferson,0.001843430912616538
76,2020-01-02,Big Bend NP - K-Bar Ranch Road,Brewster,0.01005534436014982
77,2020-01-02,Calaveras Lake,Bexar,-0.012303000679123148
78,2020-01-02,Channelview,Harris,-0.010671136030167346
79,2020-01-02,Cleburne Airport,Johnson,-0.00754306794806487
80,2020-01-02,Clinton,Harris,-0.01008426029184422
81,2020-01-02,Conroe Relocated,Montgomery,-0.01874135620012682
82,2020-01-02,Corpus Christi Tuloso,Nueces,-0.006733060281121202
83,2020-01-02,Corpus Christi West,Nueces,-0.006835018917155884
84,2020-01-02,Corsicana Airport,Navarro,0.000399561161300771
85,2020-01-02,Dallas Hinton,Dallas,-0.010032360730593576
86,2020-01-02,Dallas North #2,Dallas,-0.0075984961084451935
87,2020-01-02,Dallas Redbird Airport Executive,Dallas,0.0008724708915279697
88,2020-01-02,Denton Airport South,Denton,0.005770103262472272
89,2020-01-02,Eagle Mountain Lake,Tarrant,-0.005274479385929523
90,2020-01-02,El Paso Chamizal,El Paso,0.008793813026655654
91,2020-01-02,El Paso UTEP,El Paso,0.004060508377342419
92,2020-01-02,Fort Worth Northwest,Tarrant,-0.005368660876247586
93,2020-01-02,Frisco,Collin,0.0038248444361044104
94,2020-01-02,Galveston 99th Street,Galveston,0.004549124413586035
95,2020-01-02,Granbury,Hood,-0.00425613615526893
96,2020-01-02,Grapevine Fairway,Tarrant,-0.009785158387618415
97,2020-01-02,Greenville,Hunt,-0.0011243379174149942
98,2020-01-02,Hamshire,Jefferson,-0.0001828122403023727
