Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
4/15/2019,AQS,480271045,1,6.8,ug/m3 LC,28,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/16/2019,AQS,480271045,1,5.4,ug/m3 LC,23,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/17/2019,AQS,480271045,1,11.8,ug/m3 LC,49,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/18/2019,AQS,480271045,1,5.9,ug/m3 LC,25,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/19/2019,AQS,480271045,1,3.1,ug/m3 LC,13,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/20/2019,AQS,480271045,1,4.2,ug/m3 LC,18,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/21/2019,AQS,480271045,1,5.2,ug/m3 LC,22,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/22/2019,AQS,480271045,1,6.1,ug/m3 LC,25,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/23/2019,AQS,480271045,1,10.2,ug/m3 LC,43,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/24/2019,AQS,480271045,1,3.9,ug/m3 LC,16,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/25/2019,AQS,480271045,1,4.7,ug/m3 LC,20,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/26/2019,AQS,480271045,1,6.1,ug/m3 LC,25,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
