,Date,Site ID,County,FIPS,Value
105,2020-01-03,44,El Paso,48141,28.173547291666672
106,2020-01-03,47,Harris,48201,17.863553749999998
107,2020-01-03,5,Kaufman,48257,7.275117391304349
108,2020-01-03,52,Bexar,48029,-0.3572709090909091
109,2020-01-03,55,El Paso,48141,49.26468041666668
110,2020-01-03,56,Galveston,48167,8.03104
111,2020-01-03,59,Bexar,48029,17.421280434782606
112,2020-01-03,617,Harris,48201,18.675825833333334
113,2020-01-03,628,Jefferson,48245,7.6709950000000005
114,2020-01-03,7,Smith,48423,2.826159583333333
115,2020-01-03,75,Dallas,48113,7.548554166666667
116,2020-01-03,75,Tarrant,48439,7.360345
117,2020-01-03,803,Harris,48201,31.282641666666663
118,2020-01-03,87,Dallas,48113,9.414460434782608
119,2020-01-03,9,Jefferson,48245,5.738725217391302
120,2020-01-04,1,Gregg,48183,4.191869583333333
121,2020-01-04,1001,Orange,48361,6.3717533333333325
122,2020-01-04,1002,Tarrant,48439,27.171639583333334
123,2020-01-04,1006,Hunt,48231,7.975801250000001
124,2020-01-04,101,Jefferson,48245,5.86388625
125,2020-01-04,102,Jefferson,48245,13.55341083333333
126,2020-01-04,1035,Harris,48201,23.92308833333334
127,2020-01-04,1035,Jefferson,48245,11.1638575
128,2020-01-04,1038,Wilson,48493,9.742255
129,2020-01-04,1044,Ellis,48139,7.610620833333334
131,2020-01-04,1053,Tarrant,48439,34.12092416666667
132,2020-01-04,1067,Dallas,48113,30.4853275
133,2020-01-04,1068,Travis,48453,19.68490333333333
134,2020-01-04,1070,Karnes,48255,8.504813181818182
135,2020-01-04,1100,Orange,48361,4.45571875
136,2020-01-04,1607,Brazoria,48039,3.441990416666667
137,2020-01-04,2,Harrison,48203,2.8005245833333334
138,2020-01-04,2003,Tarrant,48439,13.286414583333332
139,2020-01-04,22,Jefferson,48245,4.5632675
140,2020-01-04,3009,Tarrant,48439,15.582517916666667
141,2020-01-04,32,Bexar,48029,17.294304583333332
142,2020-01-04,34,Denton,48121,9.529746111111114
143,2020-01-04,37,El Paso,48141,28.869499583333337
144,2020-01-04,416,Harris,48201,21.575527499999996
145,2020-01-04,44,El Paso,48141,58.00438177777778
146,2020-01-04,47,Harris,48201,35.45961375
147,2020-01-04,5,Kaufman,48257,8.989042083333333
148,2020-01-04,52,Bexar,48029,0.10311208333333335
149,2020-01-04,55,El Paso,48141,64.31464833333332
150,2020-01-04,56,Galveston,48167,9.5238225
151,2020-01-04,59,Bexar,48029,12.567208333333335
152,2020-01-04,617,Harris,48201,13.405644583333332
153,2020-01-04,628,Jefferson,48245,13.953927500000004
154,2020-01-04,7,Smith,48423,3.3658437500000002
155,2020-01-04,75,Dallas,48113,18.05895375
156,2020-01-04,75,Tarrant,48439,13.045548750000002
157,2020-01-04,803,Harris,48201,21.936703750000003
158,2020-01-04,87,Dallas,48113,15.419437499999997
159,2020-01-04,9,Jefferson,48245,9.084822500000001
160,2020-01-05,1,Gregg,48183,3.632115454545455
161,2020-01-05,1001,Orange,48361,12.172333636363632
162,2020-01-05,1002,Tarrant,48439,12.241115909090912
163,2020-01-05,1006,Hunt,48231,5.05352590909091
164,2020-01-05,101,Jefferson,48245,1.7943609090909092
165,2020-01-05,102,Jefferson,48245,12.561661818181818
166,2020-01-05,1035,Harris,48201,13.174049999999998
167,2020-01-05,1035,Jefferson,48245,5.225888947368421
168,2020-01-05,1038,Wilson,48493,9.507572272727273
169,2020-01-05,1044,Ellis,48139,6.119441578947366
171,2020-01-05,1053,Tarrant,48439,17.696633636363636
172,2020-01-05,1067,Dallas,48113,27.984412272727276
173,2020-01-05,1068,Travis,48453,27.525859090909083
174,2020-01-05,1070,Karnes,48255,2.651994285714286
175,2020-01-05,1100,Orange,48361,6.602785454545454
176,2020-01-05,1607,Brazoria,48039,3.351527999999999
177,2020-01-05,2,Harrison,48203,7.034231818181819
178,2020-01-05,2003,Tarrant,48439,10.882473636363637
179,2020-01-05,22,Jefferson,48245,4.04931090909091
180,2020-01-05,3009,Tarrant,48439,8.132623181818182
181,2020-01-05,32,Bexar,48029,17.852810416666664
182,2020-01-05,34,Denton,48121,9.60778862527716
183,2020-01-05,37,El Paso,48141,39.83841631578948
184,2020-01-05,416,Harris,48201,13.028121363636366
185,2020-01-05,44,El Paso,48141,74.90453737154151
186,2020-01-05,47,Harris,48201,15.988284090909087
187,2020-01-05,5,Kaufman,48257,3.722475454545455
