,Date,Value,Latitude,Longitude,Variable,County,Site ID
63,2020-03-04,0.5,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
64,2020-03-05,0.6,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
65,2020-03-06,0.6,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
66,2020-03-07,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
67,2020-03-08,0.2,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
68,2020-03-09,0.3,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
69,2020-03-10,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
70,2020-03-11,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
71,2020-03-12,0.3,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
72,2020-03-13,0.3,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
73,2020-03-14,0.3,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
74,2020-03-15,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
75,2020-03-16,0.3,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
76,2020-03-17,0.3,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
77,2020-03-18,0.3,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
78,2020-03-19,0.3,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
79,2020-03-20,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
80,2020-03-21,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
81,2020-03-22,0.5,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
82,2020-03-23,0.5,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
83,2020-03-24,0.5,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
84,2020-03-25,0.5,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
85,2020-03-26,0.3,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
86,2020-03-27,0.3,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
87,2020-03-28,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
88,2020-03-29,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
89,2020-03-30,0.6,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
90,2020-03-31,0.6,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
91,2020-04-01,0.2,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
92,2020-01-01,0.5,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
93,2020-01-02,0.2,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
94,2020-01-03,0.3,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
95,2020-01-04,0.4,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
96,2020-01-05,0.4,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
97,2020-01-06,0.4,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
98,2020-01-07,0.4,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
99,2020-01-08,0.4,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
100,2020-01-09,0.2,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
101,2020-01-10,0.2,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
102,2020-01-11,0.3,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
103,2020-01-12,0.3,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
104,2020-01-13,0.2,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
105,2020-01-14,0.2,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
106,2020-01-15,0.2,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
107,2020-01-16,0.2,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
108,2020-01-17,0.2,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
109,2020-01-18,0.2,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
110,2020-01-19,0.4,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
111,2020-01-20,0.6,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
112,2020-01-21,0.7,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
113,2020-01-22,0.3,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
114,2020-01-23,0.4,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
115,2020-01-24,0.6,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
116,2020-01-25,0.6,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
117,2020-01-26,0.4,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
118,2020-01-27,0.5,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
119,2020-01-28,0.2,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
120,2020-01-29,0.2,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
121,2020-01-30,0.3,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
122,2020-01-31,0.3,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
123,2020-02-01,0.6,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
124,2020-02-02,0.6,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
125,2020-02-03,0.3,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
126,2020-02-04,0.3,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
127,2020-02-05,0.3,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
128,2020-02-06,0.5,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
129,2020-02-07,0.6,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
130,2020-02-08,0.8,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
131,2020-02-09,0.3,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
132,2020-02-10,0.2,32.820060999999995,-96.860117,Carbon monoxide,Dallas,Dallas Hinton
